order;feature;name;api_or_method;method;units
48;frontier_lumo+1;Энергия LUMO+1;xtb.interface.Results.get_orbital_eigenvalues;GFN2-xTB;Eh
49;frontier_lumo+2;Энергия LUMO+2;xtb.interface.Results.get_orbital_eigenvalues;GFN2-xTB;Eh
50;frontier_lumo+3;Энергия LUMO+3;xtb.interface.Results.get_orbital_eigenvalues;GFN2-xTB;Eh
51;frontier_n;Число орбиталей, доступных для фронтирного окна;xtb.interface.Results.get_orbital_eigenvalues;GFN2-xTB;Eh
52;eps_occ_n;Количество занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
53;eps_occ_mean;Средняя энергия занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
54;eps_occ_std;Стандартное отклонение энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
55;eps_occ_min;Минимальная энергия занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
56;eps_occ_max;Максимальная энергия занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
57;eps_occ_q10;10-й перцентиль распределения энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
58;eps_occ_q50;медиана распределения энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
59;eps_occ_q90;90-й перцентиль распределения энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
60;eps_occ_l1;Сумма модулей энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
61;eps_occ_l2;Евклидова норма энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
62;eps_vir_n;Количество свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
63;eps_vir_mean;Средняя энергия свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
64;eps_vir_std;Ст. откл. энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
65;eps_vir_min;Минимальная энергия свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
66;eps_vir_max;Максимальная энергия свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
67;eps_vir_q10;10-й перцентиль распределения энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
68;eps_vir_q50;медиана распределения энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
69;eps_vir_q90;90-й перцентиль распределения энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
70;eps_vir_l1;Сумма модулей энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
71;eps_vir_l2;Евклидова норма энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
72;eps_occ_hist_001;1 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
73;eps_occ_hist_002;2 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
74;eps_occ_hist_003;3 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
75;eps_occ_hist_004;4 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
76;eps_occ_hist_005;5 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
77;eps_occ_hist_006;6 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
78;eps_occ_hist_007;7 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
79;eps_occ_hist_008;8 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
80;eps_occ_hist_009;9 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
81;eps_occ_hist_010;10 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
82;eps_occ_hist_011;11 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
83;eps_occ_hist_012;12 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
84;eps_occ_hist_013;13 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
85;eps_occ_hist_014;14 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
86;eps_occ_hist_015;15 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
87;eps_occ_hist_016;16 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
88;eps_occ_hist_017;17 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
89;eps_occ_hist_018;18 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
90;eps_occ_hist_019;19 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
91;eps_occ_hist_020;20 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
92;eps_occ_hist_021;21 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
93;eps_occ_hist_022;22 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
94;eps_occ_hist_023;23 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
95;eps_occ_hist_024;24 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
96;eps_occ_hist_025;25 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
97;eps_occ_hist_026;26 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
98;eps_occ_hist_027;27 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
99;eps_occ_hist_028;28 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
100;eps_occ_hist_029;29 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
101;eps_occ_hist_030;30 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
102;eps_occ_hist_031;31 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
103;eps_occ_hist_032;32 бин гистограмм энергий занятых орбиталей;occupied orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
104;eps_vir_hist_001;1 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
105;eps_vir_hist_002;2 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
106;eps_vir_hist_003;3 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
107;eps_vir_hist_004;4 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
108;eps_vir_hist_005;5 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
109;eps_vir_hist_006;6 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
110;eps_vir_hist_007;7 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
111;eps_vir_hist_008;8 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
112;eps_vir_hist_009;9 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
113;eps_vir_hist_010;10 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
114;eps_vir_hist_011;11 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
115;eps_vir_hist_012;12 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
116;eps_vir_hist_013;13 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
117;eps_vir_hist_014;14 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
118;eps_vir_hist_015;15 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
119;eps_vir_hist_016;16 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
120;eps_vir_hist_017;17 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
121;eps_vir_hist_018;18 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
122;eps_vir_hist_019;19 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
123;eps_vir_hist_020;20 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
124;eps_vir_hist_021;21 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
125;eps_vir_hist_022;22 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
126;eps_vir_hist_023;23 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
127;eps_vir_hist_024;24 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
128;eps_vir_hist_025;25 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
129;eps_vir_hist_026;26 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
130;eps_vir_hist_027;27 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
131;eps_vir_hist_028;28 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
132;eps_vir_hist_029;29 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
133;eps_vir_hist_030;30 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
134;eps_vir_hist_031;31 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
135;eps_vir_hist_032;32 бин гистограмм энергий свободных орбиталей;virtual orbital eigenvalues post-processing;GFN2-xTB;Eh / derived
